brand_name,model_name,os_name,os_vendor
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
NOKIA,105 SS (TA-1010),Proprietary OS,Proprietary OS
OPPO,CPH1723,Android,Google
SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
SYMPHONY,V120,Android,Google
HUAWEI,ASCEND G6-L11 LTE-A,Android,Google
NOKIA,1202,Symbian OS,Symbian
MICROSOFT,LUMIA 430 DUAL SIM (RM-1099),Windows phone,Microsoft
LAVA,GRAND2C,Android,Google
KINGSTAR,"KS-B20,KS-B21,KS-B23,KS-B24,KS-B25",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J3 2016 DUOS (SM-J320F DS),Android,Google
WINMAX,"WX82 WX83,WX90,WX91",Android,Google
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
SAMSUNG,GALAXY YOUNG II (SM-G130H),Android,Google
HUAWEI,Y5 (2017),Android,Google
NOKIA,130,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
LAVA,IRIS 60,Android,Google
SYMPHONY,"B9, FT34, B11I, H50",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND II DUOS (SM-G7102),Android,Google
SAMSUNG,GALAXY J7 PRIME (SM-G610F DS),Android,Google
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
HUAWEI,ASCEND Y625-U32,Android,Google
SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
SAMSUNG,GALAXY J1 ACE (SM-J106H DS),Android,Google
ITEL,S11,Android,Google
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
SAMSUNG,GALAXY J2 (SM-J200GUDS),Android,Google
SAMSUNG,GALAXY J1 (SM-J100H),Android,Google
SYMPHONY,"W68Q, W91, ZIV",Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500F DS),Android,Google
ITEL,IT5020,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google
NOKIA,105 DS (TA-1034),Symbian OS,Symbian
APPLE,IPHONE 6S (A1700),iOS,Apple
SYMPHONY,"L6, W86, D51I",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
IMAX,"MX 115, MX 116, MX 117, MX 118, MX 119",Proprietary OS,Proprietary OS
SYMPHONY,"L30, W69Q, W17, H100",Proprietary OS,Proprietary OS
SYMPHONY,"B9I, W69, L20",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J2 DUOS (SM-J200H),Android,Google
HUAWEI,Y3II (LUA-L03),Android,Google
WINMAX,"WX14,WX15,WX16,WX17",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
SYMPHONY,"V25, V55, V70, T54",Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200F DS),Android,Google
WALTON,"PRIMO G5, HM, E4, F5, H4",Android,Google
OPPO,F1F SELFIE EXPERT,Android,Google
SAMSUNG,GALAXY J1 MINI (SM-J105H DD),Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
SAMSUNG,GALAXY J3 DUOS HSPA (SM-J320FN),Android,Google
HTC,DESIRE 526G PLUS DUAL SIM (0PL4100),Android,Google
ITEL,IT2180,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570F DS),Android,Google
PACIFIC,"NEXUS NX10, NX21, NX12, NX24,NX62",Proprietary OS,Proprietary OS
WALTON,PRIMO EF5 PLUS,Android,Google
APPLE,IPHONE 6 PLUS LTE-A (A1522),iOS,Apple
SAMSUNG,GALAXY S III (GT-I9300),Android,Google
HUAWEI,NOVA 2 LITE (LDN-LX2),Android,Google
APPLE,IPHONE 6S PLUS (A1634 TD-LTE),iOS,Apple
NOKIA,105 DUAL SIM (RM-1133),Symbian OS,Symbian
HUAWEI,Y3II (LUA-L03),Android,Google
SYMPHONY,"T7 ULTRA, B12, P5",Android,Google
XIAOMI,REDMI 3S DUAL SIM TD-LTE (2016030),Android,Google
HUAWEI,Y5II (CUN-L03),Android,Google
SYMPHONY,V75,Android,Google
SAMSUNG,GALAXY J7 (SM-J730F DS),Android,Google
SAMSUNG,GALAXY O7 (SM-G600FY),Android,Google
SYMPHONY,P7,Android,Google
SAMSUNG,GALAXY GRAND PRIME VE DUOS (SM-G531HDS),Android,Google
XIAOMI,REDMI NOTE 4 (2016102),Android,Google
SAMSUNG,"J7 PRIME2 (SM-G611FF,DS)",Android,Google
SYMPHONY,ROAR E79,Android,Google
NOKIA,1680 CLASSIC,Symbian OS,Symbian
SYMPHONY,"BL50, W18, P5, A50",Proprietary OS,Proprietary OS
ERICSSON,BYTWO M25,Symbian OS,Symbian
HTC,ONE E9 PLUS DUAL SIM TD-LTE E9PT (HTC A55),Android,Google
ALCATEL,PIXI 4 (5010U),Android,Google
XIAOMI,REDMI 5A (MCG3B),Android,Google
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
NOKIA,105 (RM-1134),Symbian OS,Symbian
KINGSTAR,"KS-M1,KS-M2,KS-M3,KS-M5,KS-M7",Proprietary OS,Proprietary OS
HUAWEI,Y3 2017 (CRO-U00),Android,Google
ITEL,P11,Android,Google
SYMPHONY,V120,Android,Google
NOKIA,130,Proprietary OS,Proprietary OS
WALTON,PRIMO EF5,Android,Google
SYMPHONY,I10 PLUS,Android,Google
SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
LENOVO,IDEATAB A1000,Android,Google
WINMAX,"BD15,BD25,BD35,BD45",Symbian OS,Symbian
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
SB TEL,"SYMPHONY B12, D115",Proprietary OS,Proprietary OS
SYMPHONY,H300,Android,Google
SAMSUNG,SGH-S8003 JET,Samsung OS,Samsung
HUAWEI,Y3 (CRO-U00),Android,Google
SYMPHONY,"W5, W100, B4I, B4",Android,Google
WINMAX,"BD33,BD77,BD90,BD95",Symbian OS,Symbian
SAMSUNG,GALAXY J1 (SM-J100F),Android,Google
SONY,XPERIA XA1 PLUS (G3412),Android,Google
SYMPHONY,"BL50, W18, P5, A50",Proprietary OS,Proprietary OS
NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
OPPO,CPH1801,Android,Google
SAMSUNG,GALAXY J3 2016 DUOS (SM-J320F DS),Android,Google
NOKIA,105 (RM-1134),Symbian OS,Symbian
SAMSUNG,GALAXY J5 2016 (SM-J510F DS),Android,Google
SAMSUNG,GALAXY J7 DUOS (SM-J700HDS),Android,Google
AAMRA,WE B1,Android,Google
SYMPHONY,V32,Android,Google
NOKIA,5130 XPRESSMUSIC,Series40,Symbian
SAMSUNG,GALAXY A3 LTE (SM-A300F DS),Android,Google
QUATRO MOBILE,F1453 PLUS,Android,Google
WALTON,PRIMO D8S,Android,Google
WALTON,PRIMO RM3,Android,Google
SYMPHONY,I10 PLUS,Android,Google
SYMPHONY,"E10, E60, ZVI",Android,Google
SAMSUNG,GALAXY J7 DUOS LTE (SM-J710GN DS),Android,Google
HUAWEI,Y6 II DUAL SIM (CAM-L21),Android,Google
SYMPHONY,"V60, P6, V40, T90, ZVI",Android,Google
MYCELL,"S1, S2, S3, S4, F2",Proprietary OS,Proprietary OS
SYMPHONY,"L30, W69Q, W17, H100",Proprietary OS,Proprietary OS
APPLE,IPHONE 5 (A1429),iOS,Apple
NOKIA,"ASHA 206,2060",Series40,Symbian
RANGS,"J103, J55, Z20, J4, Z09",Proprietary OS,Proprietary OS
SAMSUNG,"GALAXY S IV MINI (GT-I9190,GT-I9192)",Android,Google
SYMPHONY,FT10,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J7 DUOS LTE (SM-J710F DS),Android,Google
QPHONE,"Q10,Q20,Q30,Q40,Q50",Proprietary OS,Proprietary OS
WALTON,PRIMO HM4 PLUS,Android,Google
NOKIA,105 SS (TA-1010),Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
NOKIA,105 DUAL SIM (RM-1133),Symbian OS,Symbian
SPORTS,"SP1, SP3, SP7, SP9, SP10",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
XIAOMI,REDMI NOTE 4 (2016102),Android,Google
XIAOMI,REDMI NOTE 5A (MDG6),Android,Google
APPLE,IPHONE 7 PLUS (A1784),iOS,Apple
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
NOKIA,130,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J2 PRO 2018 (SM-J250F DS),Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google
SYMPHONY,"L22, T49, D26, W70Q, V30",Proprietary OS,Proprietary OS
SYMPHONY,V75,Android,Google
WINSTAR,"WS101,WS102,WS103,WS104,WS105",Proprietary OS,Proprietary OS
WALTON,PRIMO RM2 MINI,Android,Google
APPLE,IPHONE 5 (A1429),iOS,Apple
SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570F DS),Android,Google
SAMSUNG,GALAXY J3 2016 DUOS (SM-J320F DS),Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
ITEL,IT5600,Proprietary OS,Proprietary OS
SYMPHONY,E58,Android,Google
SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
XIAOMI,REDMI NOTE 5A (MDG6),Android,Google
SAMSUNG,GALAXY J7 PRIME (SM-G610F DS),Android,Google
SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google
HUAWEI,Y5 (2017),Android,Google
MICROMAX,X088,Proprietary OS,Proprietary OS
SYMPHONY,I50,Android,Google
HTC,DESIRE 816G Dual SIM,Android,Google
OPPO,A37 (A37FW),Android,Google
OPPO,F1s (A1601),Android,Google
HUAWEI,Y5II (CUN-L03),Android,Google
VIVO,Y53 (1606),Android,Google
NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
WALTON,"PRIMO X3MINI, ZXMINI, GF2, S3MINI, RX3",Android,Google
HUAWEI,Y6 PRIME 2018 (ATU-L31),Android,Google
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
MAXIMUS,M100C,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY ACE STYLE LTE (SM-G357FZ),Android,Google
SAMSUNG,SCH-W120,Samsung OS,Samsung
SAMSUNG,GALAXY J5 2017 PRO (SM-J530F),Android,Google
SYMPHONY,D53,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND DUOS (GT-I9082),Android,Google
ITEL,A13 PLUS,Android,Google
SYMPHONY,"B9, FT34, B11I, H50",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY A3 (SM-A300HDS),Android,Google
NOKIA,"C1-01, C1 03",Symbian OS,Symbian
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SAMSUNG,"GALAXY S DUOS (GT-S7562,GT-S7566)",Android,Google
SB TEL,"SYMPHONY D29, L18, STUDIO 50",Proprietary OS,Proprietary OS
NOKIA,130,Proprietary OS,Proprietary OS
SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
HUAWEI,P8 LITE (ALE-L21) DUAL SIM LTE,Android,Google
WALTON,PRIMO GH7,Android,Google
SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500F DS),Android,Google
HTC,ONE E9 PLUS DUAL SIM TD-LTE E9PT (HTC A55),Android,Google
SYMPHONY,H120,Android,Google
SAMSUNG,GALAXY ACE NXT (SM-G313F),Android,Google
OPPO,A1603,Android,Google
NOKIA,"101, 1010",Symbian OS,Symbian
SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung
SYMPHONY,P9,Android,Google
ELITE,"S10, H1, H2, X110, X220",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J1 (SM-J120H DS),Android,Google
VIVO,Y66,Android,Google
WALTON,B09,Proprietary OS,Proprietary OS
SB TEL,"SYMPHONY B12, D115",Proprietary OS,Proprietary OS
XIAOMI,REDMI 5A (MCG3B),Android,Google
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
SAMSUNG,GALAXY GRAND NEO DS (GT-I9060),Android,Google
WINMAX,"WX40,WX41,WX42,WX43",Proprietary OS,Proprietary OS
NOKIA,106 (RM-962),Symbian OS,Symbian
SYMPHONY,I10,Android,Google
XIAOMI,REDMI 5 (MDG1),Android,Google
SYMPHONY,"T7 PRO, D24, W75, W94",Android,Google
SYMPHONY,E58,Android,Google
LAVA,IRIS 702,Android,Google
HUAWEI,P8 LITE (ALE-L21) DUAL SIM LTE,Android,Google
NOKIA,108 DUAL SIM (RM-944),Series30,Symbian
SB TEL,"SYMPHONY B12, D115",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY NOTE III LTE (SM-N9005),Android,Google
SYMPHONY,P6,Android,Google
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
LAVA,IRIS 702,Android,Google
SAMSUNG,GALAXY J7 (SM-J730GM DS),Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google
SYMPHONY,HELIO S1,Android,Google
NOKIA,"1280, 1282",Symbian OS,Symbian
SYMPHONY,I21,Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
NOKIA,225 DUAL SIM (RM-1011),Series40,Symbian
LENOVO,A2010,Android,Google
DOOGEE,X20L,Android,Google
SYMPHONY,"T100, L22, B14",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
VIVO,Y81 (1808),Android,Google
HTC,DESIRE 820G,Android,Google
HUAWEI,Y5II (CUN-L03),Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500H DD),Android,Google
ITEL,S11,Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
WINSTAR,MOBILE PHONE DISCOVERY-6,Android,Google
SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
MICROMAX,Q354,Android,Google
WALTON,PRIMO EF4,Android,Google
LENOVO,IDEATAB A1000,Android,Google
SAMSUNG,SGH-P700,Samsung OS,Samsung
SAMSUNG,GALAXY GRAND PRIME (SM-G530H DV),Android,Google
SAMSUNG,GALAXY Y (GT-S5360),Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500F DS),Android,Google
XIAOMI,REDMI 4X,Android,Google
NOKIA,215 DUAL SIM,Symbian OS,Symbian
SAMSUNG,GALAXY J3 DUOS HSPA (SM-J320H DS),Android,Google
XIAOMI,REDMI NOTE 4 (2016102),Android,Google
NOKIA,"ASHA 206,2060",Series40,Symbian
SAMSUNG,GALAXY J3 DUOS HSPA (SM-J320G DS),Android,Google
XIAOMI,REDMI 2A,Android,Google
LENOVO,A2010,Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SYMPHONY,V75,Android,Google
NOKIA,220,Series30,Symbian
SYMPHONY,"W67, F15, H50, B12",Android,Google
WALTON,PRIMO NH2 LITE,Android,Google
NOKIA,215 DUAL SIM,Symbian OS,Symbian
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
MYCELL,"BEE17,BEE19, BEE18,M103,M104",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J1 ACE (SM-J106H DS),Android,Google
XIAOMI,MI A1 (MDG2),Android,Google
NOKIA,5 DS (TA-1053),Android,Google
SAMSUNG,GALAXY S VI (SM-G925F),Android,Google
HUAWEI,Y9 2018 (FLA-LX2),Android,Google
SYMPHONY,E58,Android,Google
WALTON,PRIMO NF2,Android,Google
SAMSUNG,GALAXY J1 (SM-J100H),Android,Google
MAXIMUS,M7I,Proprietary OS,Proprietary OS
NOKIA,X DUAL SIM (NORMANDY A110),Android,Google
NOKIA,105 (RM-1134),Symbian OS,Symbian
LAVA,PIXEL V2 PLUS,Android,Google
NOKIA,1100,Symbian OS,Symbian
SYMPHONY,"L30, W69Q, W17, H100",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J5 DUOS (SM-J500F DS),Android,Google
SAMSUNG,GALAXY J1 (SM-J110HDD),Android,Google
NOKIA,"101, 1010",Symbian OS,Symbian
SAMSUNG,GALAXY J2 DUOS (SM-J200F DS),Android,Google
MICROMAX,BOLT SUPREME 2 Q301,Android,Google
SYMPHONY,I10 PLUS,Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
SAMSUNG,SGH-P700,Samsung OS,Samsung
SYMPHONY,ZVII,Android,Google
APPLE,IPHONE 6 TD-LTE (A1586),iOS,Apple
SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
NOKIA,1202,Symbian OS,Symbian
SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
SAMSUNG,GALAXY GRAND DUOS (GT-I9082),Android,Google
NOKIA,X2-02,Symbian OS,Symbian
SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung
HUAWEI,Y6II (CAM-L21),Android,Google
SYMPHONY,"L6, W86, D51I",Proprietary OS,Proprietary OS
REACH TECH,T131D,Proprietary OS,Proprietary OS
HUAWEI,P8 or P9 LITE 2017 (PRA-LX2),Android,Google
SAMSUNG,GALAXY J1 ACE DUOS (SM-J111F DS),Android,Google
SAMSUNG,SGH-E250I,Samsung OS,Samsung
NOKIA,"101, 1010",Symbian OS,Symbian
RIYA,"ORANGE PHONE A1,B100,E90,N101,K70,J6,B200,E60,N70",Proprietary OS,Proprietary OS
SYMPHONY,ROAR V20,Android,Google
NOKIA,"105, 1050 (RM-908)",Series30,Symbian
SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
SAMSUNG,CHAMP DUOS (GT-E2652),Samsung OS,Samsung
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
SB TEL,"SYMPHONY B12, D115",Proprietary OS,Proprietary OS
LAVA,IRIS 702,Android,Google
SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
HUAWEI,ASCEND Y600-U20,Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SAMSUNG,GALAXY ON7 DUOS TD-LTE (SM-G610F),Android,Google
ITEL,IT5600,Proprietary OS,Proprietary OS
ITEL,IT5600,Proprietary OS,Proprietary OS
SYMPHONY,I10,Android,Google
OPPO,CPH 1717,Android,Google
ITEL,A13,Android,Google
SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS
HUAWEI,Y7 (TRT-LX2),Android,Google
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570F DS),Android,Google
WALTON,PRIMO R4S,Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
OPPO,A37 (A37FW),Android,Google
SIEMENS,KIMFLY M6,Android,Google
SYMPHONY,I10,Android,Google
SYMPHONY,"V60, P6, V40, T90, ZVI",Android,Google
HUAWEI,Y3II (LUA-U22),Android,Google
SAMSUNG,GALAXY TAB A 7.0 2016 (SM-T285),Android,Google
SYMPHONY,"B16, T49, ZV, BL55, T8PRO",Android,Google
SB TEL,"H55, M90, D28, M85",Android,Google
XIAOMI,REDMI 4 PREMIUM EDITION DUAL SIM (2016060),Android,Google
HUAWEI,P8 or P9 LITE 2017 (PRA-LX2),Android,Google
NOKIA,230 DUAL SIM (RM-1172),Series30,Symbian
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
NOKIA,5 DS (TA-1053),Android,Google
GREYMARKET,HANDSET,Proprietary OS,Proprietary OS
SYMPHONY,"W67, F15, H50, B12",Android,Google
RANGS,"J9, J10, J101, J102, Z7",Proprietary OS,Proprietary OS
G-TIDE,"E75,E79,V3,E76,E71",Android,Google
NOKIA,6 DS (TA-1021),Android,Google
ITEL,IT2180,Proprietary OS,Proprietary OS
PEACE,"MOBILE PHONE P66,P77,P88,P99,P4",BADA,Samsung
SAMSUNG,GALAXY J7 DUOS LTE (SM-J710F DS),Android,Google
SAMSUNG,GALAXY CORE II DUOS (SM-G355H),Android,Google
SAMSUNG,GALAXY GRAND PRIME VE DUOS (SM-G531HDS),Android,Google
NOKIA,130 DS (TA-1017),Proprietary OS,Proprietary OS
SYMPHONY,V75,Android,Google
HUAWEI,Y5II (CUN-L03),Android,Google
WALTON,"PRIMO HM MINI, E6, GF4, NX3, S5",Android,Google
WALTON,PRIMO RX5,Android,Google
VIVO,Y53 (1606),Android,Google
WALTON,PRIMO GM2,Android,Google
AAMRA,WE L1,Android,Google
SYMPHONY,R20,Android,Google
SYMPHONY,P7,Android,Google
OPPO,A37 (A37FW),Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SYMPHONY,ZVIII,Android,Google
XIAOMI,REDMI NOTE 5A (MDE6),Android,Google
NOKIA,105 DS (TA-1034),Symbian OS,Symbian
NOKIA,105 DS (TA-1034),Symbian OS,Symbian
SYMPHONY,I20,Android,Google
SAMSUNG,GALAXY MINI (GT-S5570),Android,Google
SAMSUNG,GALAXY S III MINI (GT-I8200),Android,Google
SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google
ITEL,IT5600,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY GRAND PRIME (SM-G530H),Android,Google
MOTOROLA,T720-T720I WITH EOTD,VRTXmc,Mentor Graphics
SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google
G-PHONE,"GP14,GP15,GP16,T66,T77",Proprietary OS,Proprietary OS
NOKIA,"ASHA 206,2060",Series40,Symbian
SAMSUNG,GALAXY A3 TD-LTE (SM-A3000),Android,Google
SYMPHONY,"B9I, W69, L20",Proprietary OS,Proprietary OS
OKAPIA,SIGNATURE L,Android,Google
SYMPHONY,"D27, W19, L25",Proprietary OS,Proprietary OS
NOKIA,110,Series40,Symbian
G-PHONE,"GP14,GP15,GP16,T66,T77",Proprietary OS,Proprietary OS
NOKIA,215 DUAL SIM,Symbian OS,Symbian
VIVO,1719,Android,Google
XIAOMI,REDMI NOTE 4 (2016102),Android,Google
SAMSUNG,GALAXY TREND DUOS (GT-S7392),Android,Google
WALTON,"OLVIO ML4, L16, ML5, MM11, MM12",Proprietary OS,Proprietary OS
VELL-COM,"MI7,VELL-COM V500,VELL-COM 108W,VELL-COM Q12,VELL",Android,Google
TECNO,CAMON I (IN5),Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google
SAMSUNG,GALAXY J2 PRO 2018 (SM-J250F DS),Android,Google
TINMO,F688,Proprietary OS,Proprietary OS
HUAWEI,MEDIAPAD T1 8.0 4G LTE (T1-821L),Android,Google
SAMSUNG,GALAXY GRAND PRIME VE DUOS (SM-G531HDS),Android,Google
SAMSUNG,I-LIFE ITELL K3400,Android,Google
SAMSUNG,GALAXY S7 EDGE (SM-G935P),Android,Google
SYMPHONY,V32,Android,Google
SAMSUNG,GALAXY J1 MINI PRIME (SM-J106H DS),Android,Google
SAMSUNG,SM-J600F DS,Samsung OS,Samsung
SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google
SAMSUNG,GALAXY J5 2016 (SM-J510FN DS),Android,Google
NOKIA,105 (RM-1134),Symbian OS,Symbian
SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung
WALTON,"PRIMO HM MINI, E6, GF4, NX3, S5",Android,Google
SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google
SYMPHONY,"L22, T49, D26, W70Q, V30",Proprietary OS,Proprietary OS
OPPO,CPH 1717,Android,Google
SYMPHONY,"T7 PRO, D24, W75, W94",Android,Google
NOKIA,216 DUAL SIM (RM-1187),Nokia OS,Symbian
MICROMAX,X717,MTK RTOS,Motorola
SAMSUNG,GALAXY J1 MINI (SM-J105B DS),Android,Google
LAVA,IRIS X1 PLUS,Android,Google
TECNO,SPARK,Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200H),Android,Google
SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
LENOVO,LENOVO A396,Android,Google
LAVA,IRIS 605,Android,Google
ITEL,A13,Android,Google
NOKIA,105 (RM-1134),Symbian OS,Symbian
NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
SAMSUNG,GALAXY TAB 3 V,Android,Google
XIAOMI,MI A2 LITE (M1805D1SG),Android,Google
NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
TECNO,CAMON I (IN5),Android,Google
VTECH,"V19,V3,VO1,VO2,VO3",SPREADTRUM OS,SPREADTRUM
SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google
SYMPHONY,V75,Android,Google
HUAWEI,Y6 PRIME 2018 (ATU-L42),Android,Google
WALTON,PRIMO E8 PLUS,Android,Google
SYMPHONY,P6 PRO,Android,Google
HTC,0P9C500,Android,Google
QPHONE,"Q10,Q20,Q30,Q40,Q50",Proprietary OS,Proprietary OS
SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google
HUAWEI,ENJOY 5 DUAL SIM TD-LTE (TIT-AL00),Android,Google
HUAWEI,P9 LITE (VNS-L31),Android,Google
SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google
NOKIA,"112, 1120",Series40,Symbian
TINMO,F11,Proprietary OS,Proprietary OS
SYMPHONY,P6,Android,Google
SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
SAMSUNG,GALAXY O7 (SM-G600FY),Android,Google
SYMPHONY,H120,Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500H DD),Android,Google
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
SYMPHONY,V110,Android,Google
SAMSUNG,GALAXY STAR PRO DUOS (GT-S7262),Android,Google
SAMSUNG,GALAXY O7 (SM-G600FY),Android,Google
WALTON DIGI-TECH,PRIMO E8S,Android,Google
SAMSUNG,"GALAXY S DUOS (GT-S7562,GT-S7566)",Android,Google
APPLE,IPHONE X (A1865),iOS,Apple
NOKIA,1202,Symbian OS,Symbian
APPLE,IPHONE 6S (A1688),iOS,Apple
ITEL,S11,Android,Google
SAMSUNG,GALAXY CORE PRIME (SM-G360H),Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200F DS),Android,Google
KINGSTAR,KS-X10,Android,Google
SAMSUNG,GALAXY GRAND (GT-I9060I DS),Android,Google
SAMSUNG,GALAXY S III MINI VALUE EDITION (GT-I8200N),Android,Google
HUAWEI,Y5II (CUN-L03),Android,Google
SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google
